Location,Type,Lat,Lon
Briarwood Elementary School,School,35.3209,-97.5201
Plaza Towers Elementary School,School,35.3256,-97.5059
Moore Medical Center,Medical,35.33142,-97.49332
AMF Moore Lanes,Entertainment,35.3312,-97.4908
Trinity First Church of God,Church,35.33041,-97.51175
Riverlife Church of God,Church,35.32952,-97.51167
Highland Baptist Church,Church,35.3342,-97.443
New Beginning Fellowship Church,Church,35.31378,-97.54864
Moore Cemetery,Other,35.3318,-97.5025
Fort Thunder Harley-Davidson,Retail,35.32721,-97.49258
Lowe's Home Improvement,Retail,35.325,-97.49306
Warren Theatre,Entertainment,35.32887,-97.49255
Furrs Fresh Buffet,Restaurants,35.30162,-97.49072
Scroggins Animal Hospital,Animal Clinic,35.32808,-97.47715
Eastmoor Animal Clinic,Animal Clinic,35.33377,-97.48021
Apple Creek Elementary School,School,35.3263,-97.4701
Highland East Junior High School,School,35.3322,-97.4691
Moore Primary Care,Health,35.33412,-97.46608
Orr Family Farm,Other,35.32497,-97.52718